time;V(Net-_R1-Pad1_);
1.5114e-10;0;
1.5164e-10;0;
1.5214e-10;0;
1.5264e-10;0;
1.5314e-10;0;
1.5364e-10;0;
1.5414e-10;0;
1.5464e-10;0;
1.5514e-10;0;
1.5564e-10;0;
1.5614e-10;0;
1.5664e-10;0;
1.5714e-10;0;
1.5764e-10;0;
1.5814e-10;0;
1.5864e-10;0;
1.5914e-10;0;
1.5964e-10;0;
1.6014e-10;0;
1.6064e-10;0;
1.6114e-10;0;
1.6164e-10;0;
1.6214e-10;0;
1.6264e-10;0;
1.6314e-10;0;
1.6364e-10;0;
1.6414e-10;0;
1.6464e-10;0;
1.6514e-10;0;
1.6564e-10;0;
1.6614e-10;0;
1.6664e-10;0;
1.6714e-10;0;
1.6764e-10;0;
1.6814e-10;0;
1.6864e-10;0;
1.6914e-10;0;
1.6964e-10;0;
1.7014e-10;0;
1.7064e-10;0;
1.7114e-10;0;
1.7164e-10;0;
1.7214e-10;0;
1.7264e-10;0;
1.7314e-10;0;
1.7364e-10;0;
1.7414e-10;0;
1.7464e-10;0;
1.7514e-10;0;
1.7564e-10;0;
1.7614e-10;0;
1.7664e-10;0;
1.7714e-10;0;
1.7764e-10;0;
1.7814e-10;0;
1.7864e-10;0;
1.7914e-10;0;
1.7964e-10;0;
1.8014e-10;0;
1.8064e-10;0;
1.8114e-10;0;
1.8164e-10;0;
1.8214e-10;0;
1.8264e-10;0;
1.8314e-10;0;
1.8364e-10;0;
1.8414e-10;0;
1.8464e-10;0;
1.8514e-10;0;
1.8564e-10;0;
1.8614e-10;0;
1.8664e-10;0;
1.8714e-10;0;
1.8764e-10;0;
1.8814e-10;0;
1.8864e-10;0;
1.8914e-10;0;
1.8964e-10;0;
1.9014e-10;0;
1.9064e-10;0;
1.9114e-10;0;
1.9164e-10;0;
1.9214e-10;0;
1.9264e-10;0;
1.9314e-10;0;
1.9364e-10;0;
1.9414e-10;0;
1.9464e-10;0;
1.9514e-10;0;
1.9564e-10;0;
1.9614e-10;0;
1.9664e-10;0;
1.9714e-10;0;
1.9764e-10;0;
1.9814e-10;0;
1.9864e-10;0;
1.9914e-10;0;
1.9964e-10;0;
2.0014e-10;0;
2.0064e-10;0;
2.0114e-10;0;
2.0164e-10;0;
2.0214e-10;0;
2.0264e-10;0;
2.0314e-10;0;
2.0364e-10;0;
2.0414e-10;0;
2.0464e-10;0;
2.0514e-10;0;
2.0564e-10;0;
2.0614e-10;0;
2.0664e-10;0;
2.0714e-10;0;
2.0764e-10;0;
2.0814e-10;0;
2.0864e-10;0;
2.0914e-10;0;
2.0964e-10;0;
2.1014e-10;0;
2.1064e-10;0;
2.1114e-10;0;
2.1164e-10;0;
2.1214e-10;0;
2.1264e-10;0;
2.1314e-10;0;
2.1364e-10;0;
2.1414e-10;0;
2.1464e-10;0;
2.1514e-10;0;
2.1564e-10;0;
2.1614e-10;0;
2.1664e-10;0;
2.1714e-10;0;
2.1764e-10;0;
2.1814e-10;0;
2.1864e-10;0;
2.1914e-10;0;
2.1964e-10;0;
2.2014e-10;0;
2.2064e-10;0;
2.2114e-10;0;
2.2164e-10;0;
2.2214e-10;0;
2.2264e-10;0;
2.2314e-10;0;
2.2364e-10;0;
2.2414e-10;0;
2.2464e-10;0;
2.2514e-10;0;
2.2564e-10;0;
2.2614e-10;0;
2.2664e-10;0;
2.2714e-10;0;
2.2764e-10;0;
2.2814e-10;0;
2.2864e-10;0;
2.2914e-10;0;
2.2964e-10;0;
2.3014e-10;0;
2.3064e-10;0;
2.3114e-10;0;
2.3164e-10;0;
2.3214e-10;0;
2.3264e-10;0;
2.3314e-10;0;
2.3364e-10;0;
2.3414e-10;0;
2.3464e-10;0;
2.3514e-10;0;
2.3564e-10;0;
2.3614e-10;0;
2.3664e-10;0;
2.3714e-10;0;
2.3764e-10;0;
2.3814e-10;0;
2.3864e-10;0;
2.3914e-10;0;
2.3964e-10;0;
2.4014e-10;0;
2.4064e-10;0;
2.4114e-10;0;
2.4164e-10;0;
2.4214e-10;0;
2.4264e-10;0;
2.4314e-10;0;
2.4364e-10;0;
2.4414e-10;0;
2.4464e-10;0;
2.4514e-10;0;
2.4564e-10;0;
2.4614e-10;0;
2.4664e-10;0;
2.4714e-10;0;
2.4764e-10;0;
2.4814e-10;0;
2.4864e-10;0;
2.4914e-10;0;
2.4964e-10;0;
2.5014e-10;0;
2.5064e-10;0;
2.5114e-10;0;
2.5164e-10;0;
2.5214e-10;0;
2.5264e-10;0;
2.5314e-10;0;
2.5364e-10;0;
2.5414e-10;0;
2.5464e-10;0;
2.5514e-10;0;
2.5564e-10;0;
2.5614e-10;0;
2.5664e-10;0;
2.5714e-10;0;
2.5764e-10;0;
2.5814e-10;0;
2.5864e-10;0;
2.5914e-10;0;
2.5964e-10;0;
2.6014e-10;0;
2.6064e-10;0;
2.6114e-10;0;
2.6164e-10;0;
2.6214e-10;0;
2.6264e-10;0;
2.6314e-10;0;
2.6364e-10;0;
2.6414e-10;0;
2.6464e-10;0;
2.6514e-10;0;
2.6564e-10;0;
2.6614e-10;0;
2.6664e-10;0;
2.6714e-10;0;
2.6764e-10;0;
2.6814e-10;0;
2.6864e-10;0;
2.6914e-10;0;
2.6964e-10;0;
2.7014e-10;0;
2.7064e-10;0;
2.7114e-10;0;
2.7164e-10;0;
2.7214e-10;0;
2.7264e-10;0;
2.7314e-10;0;
2.7364e-10;0;
2.7414e-10;0;
2.7464e-10;0;
2.7514e-10;0;
2.7564e-10;0;
2.7614e-10;0;
2.7664e-10;0;
2.7714e-10;0;
2.7764e-10;0;
2.7814e-10;0;
2.7864e-10;0;
2.7914e-10;0;
2.7964e-10;0;
2.8014e-10;0;
2.8064e-10;0;
2.8114e-10;0;
2.8164e-10;0;
2.8214e-10;0;
2.8264e-10;0;
2.8314e-10;0;
2.8364e-10;0;
2.8414e-10;0;
2.8464e-10;0;
2.8514e-10;0;
2.8564e-10;0;
2.8614e-10;0;
2.8664e-10;0;
2.8714e-10;0;
2.8764e-10;0;
